Rank,Title,Previous Rank,CEO,Address,Website
141,"Arrow Electronics, Inc",133,Michael J. Long,"7459 S. Lima St., Englewood, CO 80112",www.arrow.com
142,PBF Energy Inc.,-,Thomas J. Nimbley,"1 Sylvan Way, Parsippany, NJ 7054","www,pbfenergy.com"
143,HollyFrontier Corporation,170,Michael C. Jennings,"2828 N. Harwood, Dallas, TX 75201",www.hollyfrontier.com
144,"National Oilwell Varco, Inc.",184,Merrill A. Miller Jr.,"7909 Parkwood Circle Dr., Houston, TX 77036",www.nov.com
145,Duke Energy Corporation,186,James E. Rogers,"550 S. Tryon St., Charlotte, NC 28202",www.duke-energy.com
146,Nucor Corporation,138,John J. Ferriola,"1915 Rexford Rd., Charlotte, NC 28211",www.nucor.com
147,United States Steel Corporation,140,John P. Surma Jr.,"600 Grant St., Pittsburgh, PA 15219",www.ussteel.com
148,Kohl’s Corporation,146,Kevin Mansell,"N56 W17000 Ridgewood Dr., Menomonee Falls, WI 53051",www.kohlscorporation.com
149,Qualcomm Incorporated,178,Paul E. Jacobs,"5775 Morehouse Dr., San Diego, CA 92121",www.qualcomm.com
150,"CenturyLink, Inc.",171,Glen F. Post III,"100 CenturyLink Dr., Monroe, LA 71203",www.centurylink.com
151,"Kraft Foods Group, Inc.",-,W. Anthony Vernon,"3 Lakes Dr., Northfield, IL 60093",www.kraftfoodsgroup.com
152,Danaher Corporation,158,H. Lawrence Culp Jr.,"2200 Pennsylvania Ave. N.W., Washington, DC 20037",www.danaher.com
153,The AES Corporation,151,Andr_s R. Gluski,"4300 Wilson Blvd., Arlington, VA 22203",www.aes.com
154,Whirlpool Corporation,147,Jeff M. Fettig,"2000 North M-63, Benton Harbor, MI 49022",www.whirlpoolcorp.com
155,Illinois Tool Works Inc.,149,E. Scott Santi,"3600 W. Lake Ave., Glenview, IL 60026",www.itw.com
156,Freeport-McMoRan Copper & Gold Inc.,135,Richard C. Adkerson,"333 N. Central Ave., Phoenix, AZ 85004",www.fcx.com
157,Global Partners LP,182,Eric Slifka,"800 South St., Waltham, MA 2453",www.globalp.com
158,Bristol-Myers Squibb Company,134,Lamberto Andreotti,"345 Park Ave., New York, NY 10154",www.bms.com
159,"Altria Group, Inc.",156,Martin J. Barrington,"6601 W. Broad St., Richmond, VA 23230",www.altria.com
160,Cummins Inc.,150,N. Thomas Linebarger,"500 Jackson St., Columbus, IN 47201",www.cummins.com
161,"Energy Transfer Equity, L.P.",312,John W. McReynolds,"3738 Oak Lawn Ave., Dallas, TX 75219",www.energytransfer.com
162,Amgen Inc.,168,Robert A. Bradway,"1 Amgen Center Dr., Thousand Oaks, CA 91320",www.amgen.com
163,"Jabil Circuit, Inc.",157,Mark T. Mondello,"10560 Dr. Martin Luther King Jr. St. N., St. Petersburg, FL 33716",www.jabil.com
164,Southwest Airlines Co.,167,Gary C. Kelly,"2702 Love Field Dr., Dallas, TX 75235",www.southwest.com
165,Colgate-Palmolive Company,155,Ian M. Cook,"300 Park Ave., New York, NY 10022",www.colgatepalmolive.com
166,The Progressive Corporation,169,Glenn M. Renwick,"6300 Wilson Mills Rd., Mayfield Village, OH 44143",www.progressive.com
167,Apache Corporation,154,G. Steven Farris,"2000 Post Oak Blvd., Houston, TX 77056",www.apachecorp.com
168,PACCAR Inc,159,Mark C. Pigott,"777 106th Ave. N.E., Bellevue, WA 98004",www.paccar.com
169,"General Mills, Inc.",181,Kendall J. Powell,"1 General Mills Blvd., Minneapolis, MN 55426",www.generalmills.com
170,"The PNC Financial Services Group, Inc.",165,James E. Rohr,"249 Fifth Ave., Pittsburgh, PA 15222",www.pnc.com
171,The Southern Company,152,Thomas A. Fanning,"30 Ivan Allen Jr. Blvd. N.W., Atlanta, GA 30308",www.southerncompany.com
172,"Medtronic, Inc.",164,Omar Ishrak,"710 Medtronic Pkwy., Minneapolis, MN 55432",www.medtronic.com
173,TRW Automotive Holdings Corp.,161,John C. Plant,"12001 Tech Center Dr., Livonia, MI 48150",www.trw.com
174,Marathon Oil Corporation,173,Clarence P. Cazalot Jr.,"5555 San Felipe Street, Houston, TX 77056",www.marathonoil.com
175,Dollar General Corporation,183,Richard W. Dreiling,"100 Mission Ridge, Goodlettsville, TN 37072",www.dollargeneral.com
176,Computer Sciences Corporation,162,J. Michael Lawrie,"3170 Fairview Park Dr., Falls Church, VA 22042",www.csc.com
177,"AutoNation, Inc.",197,Michael J. Jackson,"200 S.W. First Ave., Fort Lauderdale, FL 33301",www.autonation.com
178,Icahn Enterprises L.P.,223,Daniel A. Ninivaggi,"767 Fifth Ave., New York, NY 10153",www.ielp.com
179,"The Gap, Inc.",185,Glenn K. Murphy,"2 Folsom St., San Francisco, CA 94105",www.gapinc.com
180,The Bank of New York Mellon Corporation,166,Gerald L. Hassell,"1 Wall St., New York, NY 10286",www.bnymellon.com
181,FirstEnergy Corp.,160,Anthony J. Alexander,"76 S. Main St., Akron, OH 44308",www.firstenergycorp.com
182,"PPG Industries, Inc.",180,Charles E. Bunch,"1 PPG Place, Pittsburgh, PA 15272",www.ppg.com
183,PG&E Corporation,179,Anthony F. Earley Jr.,"77 Beale St., San Francisco, CA 94105",www.pge.com
184,"Community Health Systems, Inc.",198,Wayne T. Smith,"4000 Meridian Blvd., Franklin, TN 37067",www.chs.net
185,"American Electric Power Company, Inc.",176,Nicholas K. Akins,"1 Riverside Plaza, Columbus, OH 43215",www.aep.com
186,CBS Corporation,188,Leslie Moonves,"51 W. 52nd St., New York, NY 10019",www.cbscorporation.com
187,Lear Corporation,189,Matthew J. Simoncini,"21557 Telegraph Rd., Southfield, MI 48033",www.lear.com
188,Loews Corporation,190,James S. Tisch,"667 Madison Ave., New York, NY 10065",www.loews.com
